task_id,condition,repetition_id,run_id,eval_id,overall_score,runtime_seconds,relevance,structure,evidence_use,argument_clarity,academic_style,grammar_readability
D001,single_agent,1,R8be7681b,E2c289f50,4.83,67.49670457839966,5,5,4,5,5,5
D001,single_agent,2,R66d5e47c,E731aeddf,4.83,3.034029245376587,5,5,4,5,5,5
D001,single_agent,3,R333361f7,Eb57756e1,4.83,3.7123215198516846,5,5,4,5,5,5
D001,plan_execute,1,R249e0928,E24630c5a,4.33,44.01569628715515,4,4,5,4,4,5
D001,plan_execute,2,R081cc035,E43150d71,5.0,14.520162343978882,5,5,5,5,5,5
D001,plan_execute,3,Rbbadf2ff,E1075ee04,4.83,8.66578984260559,5,5,5,4,5,5
D001,plan_execute_critique,1,Rc15e87c7,Ef559344f,5.0,99.99044179916382,5,5,5,5,5,5
D001,plan_execute_critique,2,Rbefc7074,Ea9ef55bc,4.5,49.84898138046265,4,5,4,4,5,5
D001,plan_execute_critique,3,Rceb6d7c1,E89b28836,4.67,175.71291399002075,5,5,4,5,4,5
T001,single_agent,3,R5798ac3e,E36c2cb88,5.0,94.91796517372131,5,5,5,5,5,5
T001,plan_execute,2,R03b33647,E2abc0927,4.83,35.74463987350464,5,5,5,4,5,5
T001,plan_execute_critique,3,R218537a6,Eb065bd06,4.83,149.11939406394958,5,5,4,5,5,5
T002,single_agent,1,R6793b2e6,Efb090668,4.67,11.05870795249939,5,4,5,4,5,5
T001,single_agent,1,Rbc260fe6,Edf764393,5.0,53.782623052597046,5,5,5,5,5,5
T002,single_agent,2,R51dcd38f,Ec060d8cd,4.67,17.974787950515747,5,4,5,4,5,5
T001,single_agent,2,Ra6d566fd,Ecd2d77b7,5.0,12.370187997817993,5,5,5,5,5,5
T002,single_agent,3,R11d6803c,Eb5ecebd5,4.83,17.80856204032898,5,5,5,4,5,5
T001,plan_execute,1,R519510ce,E879cf281,4.67,13.890295028686523,5,5,5,4,4,5
T001,plan_execute,3,R4636524d,Ec806b522,4.5,12.155564785003662,5,4,5,4,4,5
T002,plan_execute,1,Rd7295f34,E2e085672,4.33,29.86581516265869,4,4,4,4,5,5
T001,plan_execute_critique,1,R28146eb2,E70541c9a,4.33,35.001954078674316,5,4,4,4,4,5
T002,plan_execute,2,Rf364e3e0,Eb0894fe0,4.83,69.32116913795471,5,5,5,4,5,5
T002,plan_execute,3,Rc730e5eb,E9afe9dbc,4.67,19.346973180770874,5,4,5,4,5,5
T001,plan_execute_critique,2,R3ac66cc4,Ee93f7898,5.0,105.25222086906433,5,5,5,5,5,5
T002,plan_execute_critique,2,R7aff5413,E10fc9f51,4.83,46.768064975738525,5,5,4,5,5,5
T002,plan_execute_critique,3,R280f90e8,E3721e12d,4.67,28.213083028793335,4,5,5,4,5,5
T002,plan_execute_critique,1,R4d80cb69,E227e8664,4.33,32.61845088005066,5,4,4,4,4,5
T003,single_agent,1,R2a13fd7b,E72a53824,4.83,40.81733703613281,5,5,5,5,5,4
T003,single_agent,3,R211f34fe,E1343a0c5,5.0,29.768449068069458,5,5,5,5,5,5
T003,single_agent,2,R03a42eb2,Ec41bb863,5.0,8.856106996536255,5,5,5,5,5,5
T003,plan_execute,2,R00c3affd,E4402ae8c,4.83,10.189904928207397,5,5,5,4,5,5
T003,plan_execute,3,R88f2c6f8,Ea45768be,5.0,21.77075695991516,5,5,5,5,5,5
T003,plan_execute_critique,1,Rf3460f8b,Ecbb4fcbf,5.0,104.65551424026489,5,5,5,5,5,5
T003,plan_execute_critique,3,Rf294813f,Ea3fef17e,4.67,75.539391040802,5,5,4,4,5,5
T003,plan_execute_critique,2,Rc9074b88,Efd5dfbc6,4.67,31.36691904067993,5,5,4,4,5,5
T004,single_agent,2,R0bf57fb6,E08fc26c1,4.67,33.150749921798706,5,4,5,4,5,5
T004,single_agent,1,Rc2128c90,E33d6b8f7,4.67,4.813375949859619,5,4,5,4,5,5
T004,plan_execute,2,R92251a78,Ea1f5c689,4.67,19.73827886581421,5,4,5,4,5,5
T004,single_agent,3,R16ce94e1,Ea3035206,4.33,38.9712769985199,5,4,4,4,4,5
T004,plan_execute,3,R58f55188,Ed242cc8c,4.67,36.181849241256714,5,4,5,4,5,5
T004,plan_execute,1,R9f6afc35,E2c5fc9bc,4.67,58.18320608139038,4,5,5,4,5,5
T005,single_agent,1,R10ceb9f1,E405f8b99,5.0,28.093347787857056,5,5,5,5,5,5
T005,single_agent,2,Rb39904f5,E9cbf03b5,5.0,13.179365158081055,5,5,5,5,5,5
T004,plan_execute_critique,1,Rf68cd122,E5ea7d6a3,4.5,71.15450477600098,5,4,4,4,5,5
T005,plan_execute,1,Rd74c341e,Eacbbe0bb,5.0,27.840674877166748,5,5,5,5,5,5
T005,plan_execute,2,Rc73b8d14,Eed00b868,5.0,16.336265802383423,5,5,5,5,5,5
T004,plan_execute_critique,3,R774ae23f,E0f468004,4.83,47.52775287628174,5,5,4,5,5,5
T005,single_agent,3,R90317153,Ef81b6b51,5.0,13.359540939331055,5,5,5,5,5,5
T005,plan_execute,3,R014c3045,E781a04d1,5.0,60.408851861953735,5,5,5,5,5,5
T005,plan_execute_critique,1,R9967effa,E489601bf,5.0,80.94703984260559,5,5,5,5,5,5
T006,single_agent,1,R3ae0edb5,E8b1a73f2,4.83,5.257986783981323,5,4,5,5,5,5
T005,plan_execute_critique,2,R958776a4,E4c701491,5.0,55.41343879699707,5,5,5,5,5,5
T005,plan_execute_critique,3,Ref47d0e3,Ef502a3b3,4.83,37.325222969055176,5,4,5,5,5,5
T006,single_agent,2,R24fb1daa,E5a3a458f,4.83,6.99071478843689,5,5,5,4,5,5
T006,single_agent,3,R45493bba,E01c686bf,5.0,7.411162853240967,5,5,5,5,5,5
T006,plan_execute,1,Re05a7676,E5c29374d,5.0,40.005120038986206,5,5,5,5,5,5
T006,plan_execute,2,Ra52a8676,E9a251470,4.83,38.54623889923096,5,5,5,4,5,5
T006,plan_execute,3,Rf201c579,Ed0980e9a,4.5,24.451714038848877,5,4,4,4,5,5
T006,plan_execute_critique,2,R92cbe406,Ec29b0e88,4.17,84.65479397773743,5,4,3,4,4,5
T006,plan_execute_critique,3,R4dc85c0b,E00f88708,4.83,103.26306104660034,5,5,4,5,5,5
T007,single_agent,1,R6154151e,Ec9c9a87a,4.5,36.75580024719238,4,4,5,4,5,5
T007,single_agent,2,Raecf4c32,Efb09f8b9,4.83,10.815173864364624,5,4,5,5,5,5
T007,single_agent,3,Rec41e112,E65b79cd3,4.67,15.351428985595703,5,4,5,4,5,5
T007,plan_execute,1,Rc0d005c7,E93068e57,4.83,18.513363122940063,5,5,5,4,5,5
T007,plan_execute,3,R4f6de358,E17ac2d00,5.0,38.49016213417053,5,5,5,5,5,5
T007,plan_execute,2,R5f1b35c4,Eefc1ed1e,4.67,47.00523281097412,4,5,5,4,5,5
T007,plan_execute_critique,1,Rca378811,Efe8b9007,4.83,75.6056649684906,5,5,5,4,5,5
T007,plan_execute_critique,3,R60e29145,E7b06fce2,4.83,69.58236193656921,5,5,5,4,5,5
T007,plan_execute_critique,2,R375648f8,E1ff94e22,5.0,114.82948088645935,5,5,5,5,5,5
T008,single_agent,2,Rb00fdea6,Ec2db12d6,4.83,23.339012145996094,5,5,5,4,5,5
T008,single_agent,1,R130338ff,E202ce9e9,5.0,6.759462833404541,5,5,5,5,5,5
T008,single_agent,3,Rcd722f6e,E8bb25626,5.0,22.029759168624878,5,5,5,5,5,5
T008,plan_execute,3,R75bbefce,Eace7bbf3,4.83,16.52151894569397,5,5,5,4,5,5
T008,plan_execute,2,R41541f03,E9c9a30e2,4.83,81.52128887176514,5,5,5,4,5,5
T008,plan_execute_critique,3,R71a8ad46,E8c3ff1c5,4.67,77.85852909088135,5,5,5,4,4,5
T009,single_agent,1,Rc196d9a0,E9e8dd794,5.0,12.246654272079468,5,5,5,5,5,5
T009,single_agent,2,R815e10c7,Eb7b8cc98,4.83,7.23638391494751,5,5,5,4,5,5
T008,plan_execute_critique,2,R94c7bb61,E25cd627f,4.83,125.19113492965698,5,5,5,5,4,5
T009,single_agent,3,Rc4015d5a,Ee235a60c,5.0,21.026527404785156,5,5,5,5,5,5
T009,plan_execute,1,R5bd6cb17,E2b9f670d,5.0,25.444962739944458,5,5,5,5,5,5
